feature,importance,rank
categorical__traffic_level_HIGH,0.09267782520110984,1
categorical__traffic_level_LOW,0.07563754875732742,2
numeric__hour,0.07547161338568864,3
categorical__traffic_level_MEDIUM,0.05451809191907926,4
categorical__time_slot_evening,0.052813676458666865,5
numeric__total_spaces,0.049165065765473935,6
categorical__nearby_poi_type_shopping,0.04038633568604201,7
numeric__rainfall_mm,0.03095138160635658,8
numeric__longitude,0.030632139800276497,9
numeric__latitude,0.030057405469794143,10
categorical__time_slot_morning,0.027036531632995443,11
numeric__price_per_hour,0.02621406484882558,12
categorical__nearby_poi_type_event_venue,0.025035940203314243,13
categorical__time_slot_dawn,0.023042617675752664,14
categorical__is_weekend_False,0.022064359832395256,15
categorical__nearby_poi_type_station,0.021864246278842783,16
categorical__is_weekend_True,0.01920996391161554,17
categorical__weather_RAIN,0.01870931734272864,18
categorical__weather_CLEAR,0.0174965800864983,19
categorical__event_nearby_True,0.016054952292730417,20
categorical__event_scale_NONE,0.01585172137986117,21
categorical__event_nearby_False,0.014424986488270173,22
categorical__nearby_poi_type_office,0.012833571022766041,23
categorical__nearby_poi_type_residential,0.01185028434062389,24
categorical__weather_SNOW,0.011761775259594421,25
categorical__time_slot_afternoon,0.010526447135176241,26
categorical__time_slot_lunch,0.008367790835759024,27
categorical__nearby_poi_type_university,0.00777020978372076,28
categorical__time_slot_night,0.007597414945507184,29
categorical__weather_CLOUDY,0.007577860030017149,30
categorical__parking_type_PRIVATE,0.007101227436050668,31
numeric__temperature,0.006859474928883808,32
categorical__has_nfc_True,0.0063343548371887935,33
categorical__has_nfc_False,0.005442923813184397,34
categorical__parking_type_PUBLIC,0.005390823632727214,35
categorical__district_영등포구,0.005161663396582584,36
categorical__is_public_False,0.005143626095165344,37
categorical__parking_type_SHARED,0.005088268890160763,38
categorical__day_of_week_SAT,0.005064928411716734,39
categorical__is_public_True,0.005041053563796388,40
categorical__is_shared_True,0.004944778610567593,41
categorical__is_shared_False,0.004732551158272896,42
categorical__district_서대문구,0.004625205496533089,43
categorical__district_용산구,0.004498916644361591,44
categorical__district_서초구,0.00440808705403793,45
numeric__day,0.004396117627227966,46
categorical__day_of_week_SUN,0.00431849895874274,47
categorical__parking_type_COMMERCIAL,0.0043074213201309795,48
categorical__district_중구,0.003602367925509829,49
numeric__month,0.0035527065106059877,50
categorical__district_동작구,0.0031158347165880017,51
categorical__district_광진구,0.003027339069780254,52
categorical__season_winter,0.002995193553924381,53
numeric__year,0.0027227635002288696,54
categorical__nearby_poi_type_hospital,0.0026535153255482866,55
categorical__district_강서구,0.002582399407597811,56
categorical__district_노원구,0.0025116048810864128,57
categorical__district_마포구,0.002380703822759272,58
categorical__district_성동구,0.00214447564555621,59
categorical__district_관악구,0.002105786957231919,60
categorical__district_송파구,0.0020190362762195747,61
categorical__event_scale_SMALL,0.0017884360695321747,62
categorical__district_종로구,0.0017816820639622551,63
categorical__district_강남구,0.0016613585044896815,64
categorical__event_scale_MEDIUM,0.001132404785545348,65
categorical__event_scale_LARGE,0.0011138229980542154,66
categorical__day_of_week_FRI,0.0009454514237895622,67
categorical__day_of_week_THU,0.0009451064912359297,68
categorical__day_of_week_WED,0.0009012093655486093,69
categorical__day_of_week_TUE,0.000846321971682413,70
categorical__day_of_week_MON,0.0008115764039055404,71
categorical__season_fall,0.0005734519169501682,72
categorical__season_summer,0.0005550129389420865,73
categorical__season_spring,0.0005487445392402367,74
categorical__is_holiday_True,0.0002603749293576739,75
categorical__is_holiday_False,0.0002596767529857796,76
